read_alias	original_read_name	run_accession	spot_id	read_number	split_fastq_record_number	source_fastq_header
SRR28984805.506331/1	0ff0ebdd-294f-4969-bb3b-82cb1e078f6b	SRR28984805	506331	1	2349	@SRR28984805.506331/1 original_name=0ff0ebdd-294f-4969-bb3b-82cb1e078f6b
SRR28984805.506334/1	225dd303-5420-4c6e-924f-bce8017c3ae7	SRR28984805	506334	1	2350	@SRR28984805.506334/1 original_name=225dd303-5420-4c6e-924f-bce8017c3ae7
SRR28984805.506381/1	6c76f740-033b-415f-8ee7-e72625c92815	SRR28984805	506381	1	2351	@SRR28984805.506381/1 original_name=6c76f740-033b-415f-8ee7-e72625c92815
SRR28984805.506390/1	7d3a2ed7-9dc4-4a4b-9d32-4c9d490a5a5c	SRR28984805	506390	1	2352	@SRR28984805.506390/1 original_name=7d3a2ed7-9dc4-4a4b-9d32-4c9d490a5a5c
SRR28984805.506670/1	b9327ffe-2334-4c22-be60-48e5ebbfe79d	SRR28984805	506670	1	2353	@SRR28984805.506670/1 original_name=b9327ffe-2334-4c22-be60-48e5ebbfe79d
SRR28984805.507335/1	191e5b15-dfd5-4a88-a437-c1e3e0f9524c	SRR28984805	507335	1	2354	@SRR28984805.507335/1 original_name=191e5b15-dfd5-4a88-a437-c1e3e0f9524c
SRR28984805.508006/1	9771d6be-478f-4d86-806f-1e862258a55c	SRR28984805	508006	1	2355	@SRR28984805.508006/1 original_name=9771d6be-478f-4d86-806f-1e862258a55c
SRR28984805.508136/1	0b87a9bb-64e5-4166-b5b7-dcf0eba69631	SRR28984805	508136	1	2356	@SRR28984805.508136/1 original_name=0b87a9bb-64e5-4166-b5b7-dcf0eba69631
SRR28984805.508149/1	9c4d996c-0b1a-4014-be1f-6e44453885f1	SRR28984805	508149	1	2357	@SRR28984805.508149/1 original_name=9c4d996c-0b1a-4014-be1f-6e44453885f1
SRR28984805.508219/1	b3184b6a-6074-4f7f-ad31-b6f332d85ec1	SRR28984805	508219	1	2358	@SRR28984805.508219/1 original_name=b3184b6a-6074-4f7f-ad31-b6f332d85ec1
SRR28984805.508278/1	a8170f84-d4f1-4110-8a8b-1a102fa9c4a6	SRR28984805	508278	1	2359	@SRR28984805.508278/1 original_name=a8170f84-d4f1-4110-8a8b-1a102fa9c4a6
SRR28984805.508298/1	36385491-f253-4db8-a926-bd14f4185c5f	SRR28984805	508298	1	2360	@SRR28984805.508298/1 original_name=36385491-f253-4db8-a926-bd14f4185c5f
SRR28984805.508490/1	7d0cecf3-8699-4023-aa62-33a312a7d9b6	SRR28984805	508490	1	2361	@SRR28984805.508490/1 original_name=7d0cecf3-8699-4023-aa62-33a312a7d9b6
SRR28984805.508491/1	c6c6e5a8-45d7-48ba-beb5-1f2436e3d5df	SRR28984805	508491	1	2362	@SRR28984805.508491/1 original_name=c6c6e5a8-45d7-48ba-beb5-1f2436e3d5df
SRR28984805.508919/1	087a4051-4866-4b64-88fc-c36503bbb162	SRR28984805	508919	1	2363	@SRR28984805.508919/1 original_name=087a4051-4866-4b64-88fc-c36503bbb162
SRR28984805.508963/1	a5222f7b-245d-4736-85a8-6e094f4f37e4	SRR28984805	508963	1	2364	@SRR28984805.508963/1 original_name=a5222f7b-245d-4736-85a8-6e094f4f37e4
SRR28984805.509070/1	d9bf6d70-20c7-4076-a26e-e3e2887c765c	SRR28984805	509070	1	2365	@SRR28984805.509070/1 original_name=d9bf6d70-20c7-4076-a26e-e3e2887c765c
SRR28984805.509229/1	90038e6e-55d8-46ab-b27c-f3cb22f675cb	SRR28984805	509229	1	2366	@SRR28984805.509229/1 original_name=90038e6e-55d8-46ab-b27c-f3cb22f675cb
SRR28984805.509414/1	ea1bc032-b347-4c3d-91c6-96ada4cfc3e3	SRR28984805	509414	1	2367	@SRR28984805.509414/1 original_name=ea1bc032-b347-4c3d-91c6-96ada4cfc3e3
SRR28984805.509936/1	19330b28-7fce-439d-8134-b8da41874437	SRR28984805	509936	1	2368	@SRR28984805.509936/1 original_name=19330b28-7fce-439d-8134-b8da41874437
SRR28984805.509987/1	f5ffb5e3-351f-41e6-a63a-74b72468b0e3	SRR28984805	509987	1	2369	@SRR28984805.509987/1 original_name=f5ffb5e3-351f-41e6-a63a-74b72468b0e3
SRR28984805.510008/1	dc40b5f1-12d4-4a54-bb05-9af4ca38f5b2	SRR28984805	510008	1	2370	@SRR28984805.510008/1 original_name=dc40b5f1-12d4-4a54-bb05-9af4ca38f5b2
