pair_id	hic_contact_enrichment	hic_feature	hic_n_replicates	hic_n_bin_pairs	hic_partial_enrichment	hic_status	hic_qc_reasons	hic_assembly	hic_resolution
AW549877:Neil1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW549877:Otulinl			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW549877:Psap			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aagab:Map2k5			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aak1:Lyz1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamdc:Fxyd5			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Abi1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:B2m			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Cinp			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Dusp1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Lilrb4a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Mgst3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Ndufaf4			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Pik3ap1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Ppib			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Rpl18			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Rpl23a-ps3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Rpl28-ps1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Rplp0			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Rps21			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aamp:Smim27			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aar2:Gm14168			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aars2:Kcnk13			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aarsd1:Edem2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aarsd1:Eef2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aasdhppt:Zpr1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Aatk:Rpl7a-ps11			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abca1:Gpnmb			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abca1:Pgm1	1.099456955174509	0.6775821669506834	3	1	1.099456955174509	observed_all_replicates		GRCm39	500000
