method,k,candidates,known_positives,expected_supported_at_k,known_positive_recall_at_k,tie_breaking_lower_95,tie_breaking_upper_95,threshold_tie_candidates,interval_meaning
Long-read support,45,378,86,15.75068493150685,0.18314749920356801,12.0,20.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,46,378,86,15.961643835616439,0.1856005097164702,12.0,21.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,47,378,86,16.172602739726027,0.1880535202293724,12.0,21.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,48,378,86,16.383561643835616,0.1905065307422746,12.0,21.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,49,378,86,16.594520547945205,0.1929595412551768,12.0,21.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,50,378,86,16.805479452054794,0.195412551768079,12.0,22.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,51,378,86,17.016438356164386,0.19786556228098123,13.0,22.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,52,378,86,17.227397260273975,0.20031857279388343,13.0,22.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,53,378,86,17.438356164383563,0.20277158330678563,13.0,22.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,54,378,86,17.649315068493152,0.20522459381968783,13.0,23.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,55,378,86,17.86027397260274,0.20767760433259,13.0,23.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,56,378,86,18.07123287671233,0.2101306148454922,13.0,23.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,57,378,86,18.28219178082192,0.2125836253583944,14.0,23.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,58,378,86,18.493150684931507,0.2150366358712966,14.0,24.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,59,378,86,18.704109589041096,0.2174896463841988,14.0,24.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,60,378,86,18.915068493150685,0.219942656897101,14.0,24.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,61,378,86,19.126027397260273,0.2223956674100032,14.0,24.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,62,378,86,19.336986301369862,0.22484867792290536,14.0,25.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,63,378,86,19.54794520547945,0.22730168843580756,15.0,25.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,64,378,86,19.75890410958904,0.22975469894870976,15.0,25.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,65,378,86,19.969863013698628,0.23220770946161196,15.0,25.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,66,378,86,20.180821917808217,0.23466071997451415,15.0,26.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,67,378,86,20.391780821917806,0.23711373048741635,15.0,26.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,68,378,86,20.602739726027398,0.23956674100031858,15.0,26.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,69,378,86,20.813698630136987,0.24201975151322078,16.0,26.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,70,378,86,21.024657534246575,0.24447276202612298,16.0,27.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,71,378,86,21.235616438356164,0.24692577253902517,16.0,27.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,72,378,86,21.446575342465753,0.24937878305192737,16.0,27.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,73,378,86,21.657534246575345,0.2518317935648296,16.0,27.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,74,378,86,21.868493150684934,0.2542848040777318,16.0,28.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,75,378,86,22.079452054794523,0.256737814590634,17.0,28.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,76,378,86,22.29041095890411,0.2591908251035362,17.0,28.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,77,378,86,22.5013698630137,0.2616438356164384,17.0,28.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,78,378,86,22.71232876712329,0.2640968461293406,17.0,29.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,79,378,86,22.923287671232877,0.2665498566422428,17.0,29.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,80,378,86,23.134246575342466,0.26900286715514493,17.0,29.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,81,378,86,23.345205479452055,0.27145587766804713,18.0,29.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,82,378,86,23.556164383561644,0.27390888818094933,18.0,30.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,83,378,86,23.767123287671232,0.2763618986938515,18.0,30.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,84,378,86,23.97808219178082,0.2788149092067537,18.0,30.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,85,378,86,24.18904109589041,0.2812679197196559,18.0,30.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,86,378,86,24.4,0.2837209302325581,18.0,31.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,87,378,86,24.610958904109587,0.2861739407454603,19.0,31.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,88,378,86,24.821917808219176,0.2886269512583625,19.0,31.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,89,378,86,25.03287671232877,0.2910799617712648,19.0,31.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,90,378,86,25.243835616438357,0.2935329722841669,19.0,32.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,91,378,86,25.454794520547946,0.2959859827970691,19.0,32.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,92,378,86,25.665753424657535,0.2984389933099713,20.0,32.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,93,378,86,25.876712328767123,0.3008920038228735,20.0,32.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,94,378,86,26.087671232876712,0.3033450143357757,20.0,33.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,95,378,86,26.2986301369863,0.3057980248486779,20.0,33.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,96,378,86,26.50958904109589,0.3082510353615801,20.0,33.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,97,378,86,26.720547945205478,0.3107040458744823,20.0,33.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,98,378,86,26.931506849315067,0.3131570563873845,21.0,34.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,99,378,86,27.14246575342466,0.31561006690028676,21.0,34.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,100,378,86,27.353424657534248,0.31806307741318895,21.0,34.0,365,95% variability from random tie-breaking; not biological confidence
Reported short-read support,1,378,86,0.5454545454545454,0.006342494714587738,0.0,1.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,2,378,86,1.0909090909090908,0.012684989429175475,0.0,2.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,3,378,86,1.6363636363636365,0.019027484143763214,0.0,3.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,4,378,86,2.1818181818181817,0.02536997885835095,0.0,4.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,5,378,86,2.727272727272727,0.03171247357293869,1.0,5.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,6,378,86,3.272727272727273,0.03805496828752643,1.0,5.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,7,378,86,3.8181818181818183,0.04439746300211417,2.0,6.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,8,378,86,4.363636363636363,0.0507399577167019,2.0,7.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,9,378,86,4.909090909090909,0.05708245243128964,3.0,7.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,10,378,86,5.454545454545454,0.06342494714587738,3.0,8.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,11,378,86,6.0,0.06976744186046512,4.0,8.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,12,378,86,6.545454545454546,0.07610993657505286,4.0,9.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,13,378,86,7.090909090909091,0.0824524312896406,5.0,9.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,14,378,86,7.636363636363637,0.08879492600422834,5.0,10.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,15,378,86,8.181818181818182,0.09513742071881606,6.0,10.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,16,378,86,8.727272727272727,0.1014799154334038,7.0,11.0,22,95% variability from random tie-breaking; not biological confidence
