pair_id	log_read_support	sample_count	is_interchromosomal	log_genomic_distance	hic_feature
Med15:Eif4g1	0.6931471805599453		0	14.89266390841026	1.1235766263138633
Mef2a:Ftx	0.6931471805599453		1	0.0	0.4226725173693799
Mef2d:Blvrb	0.6931471805599453		1	0.0	1.7029965277517445
Mertk:Aopep	0.6931471805599453		1	0.0	1.3849756075141013
Mertk:Laptm4a	0.6931471805599453		1	0.0	1.7699495127500475
Mia3:St6galnac4	0.6931471805599453		1	0.0	0.46230066854089846
Mink1:Crat	0.6931471805599453		1	0.0	1.9881782797532646
Mink1:Tmem65	0.6931471805599453		1	0.0	1.7844816581569636
Mob1b:Ndufa10	0.6931471805599453		1	0.0	0.40836743889193067
Mpdu1:Hk3	0.6931471805599453		1	0.0	2.5480418323163603
Mrc1:Rsu1	0.6931471805599453		0	13.772580092179915	1.833361232300271
Mrpl4:Slc29a1	0.6931471805599453		1	0.0	1.5389818159400228
Mrs2:Mrps28	0.6931471805599453		1	0.0	0.5278988301201208
Ms4a6b:Nudt19	0.6931471805599453		1	0.0	0.5199362400291146
Ms4a6d:Lair1	0.6931471805599453		1	0.0	
Ms4a7:Cog6	0.6931471805599453		1	0.0	1.0735972008750865
Ms4a7:Nsf	0.6931471805599453		1	0.0	1.303916618177282
Mtpn:Rab9	0.6931471805599453		1	0.0	0.6383538034799657
Mtx1:1810009A15Rik	0.6931471805599453		1	0.0	0.6753818124500196
Mx1:Wars	0.6931471805599453		1	0.0	
Myo1b:Atp6v1h	0.6931471805599453		0	17.65617016299208	
Myo1e:Nbdy	0.6931471805599453		1	0.0	0.32683653591750883
Myo1g:Jmjd1c	0.6931471805599453		1	0.0	1.1223675895762344
